"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"AF AMER 188A - SALLEY, R.J.",0.097,0.194,NA,0.161,0.258,0.065,0.065,NA,0.032,NA,0.032,NA,0.065
"AF AMER 188A - SMYTHE, S.",0.205,0.205,0.154,0.128,0.051,0.051,0.103,0.026,0.026,NA,NA,NA,0.051
"AF AMER 19 - SMYTHE, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER 241 - GREEN, C.D.",0.167,0.167,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER 241 - SMYTHE, S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER 270A - JOHNSON, G.",0.952,NA,NA,NA,0.048,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER 6 - STREETER, C.A.",0.205,0.111,0.308,0.094,0.043,0.103,0.034,0.026,0.068,0.009,NA,NA,NA
"AF AMER C191 - MCMILLAN, U.G.",0.059,0.235,NA,0.471,0.118,0.059,NA,NA,0.059,NA,NA,NA,NA
"AF AMER M104B - YARBOROUGH, R.A.",0.312,0.125,NA,0.25,0.062,0.188,NA,NA,0.062,NA,NA,NA,NA
"AF AMER M104E - UNDERWOOD, B.E.",0.214,0.5,NA,0.143,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"AF AMER M10A - LYDON, G.E.",0.25,0.179,NA,0.179,0.107,0.214,NA,0.036,NA,NA,NA,NA,NA
"AF AMER M118 - AVILA, E.R.",0.273,0.273,NA,0.364,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"AF AMER M12A - KEYES, C.L.",0.143,0.143,0.071,0.214,0.143,0.214,NA,NA,NA,NA,NA,NA,0.071
"AF AMER M18 - AVILA, E.R.",0.917,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AM IND 19 - KROSKRITY, P.V.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AM IND M10 - NABOKOV, P.",0.292,0.035,0.583,0.014,NA,0.021,0.007,NA,NA,NA,NA,NA,NA
"AN N EA 12W - SMOAK, J.D.",0.5,0.2,NA,0.1,0.05,0.1,0.05,NA,NA,NA,NA,NA,NA
"AN N EA 14W - BONESHO, C.E.",0.451,0.221,0.062,0.106,0.044,0.08,0.009,NA,0.018,NA,NA,0.009,NA
"AN N EA 15 - COONEY, K.M.",0.308,0.171,0.091,0.095,0.049,0.095,0.057,0.019,0.038,0.004,0.004,0.004,0.023
"AN N EA 15 - COONEY, K.M. LEC 2",0.267,0.133,NA,0.067,NA,NA,NA,NA,0.067,NA,NA,NA,NA
"AN N EA 162 - BURKE, A.A.",0.418,0.09,0.284,0.03,NA,0.045,0.015,NA,NA,NA,NA,NA,NA
"AN N EA 175 - WINNERMAN, J.P.",0.143,0.333,0.048,0.048,0.048,0.333,NA,NA,NA,NA,NA,NA,NA
"AN N EA 220 - WENDRICH, W.Z.",0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN N EA M104A - CIFOLA, B.",0.222,0.222,0.111,0.111,0.056,0.167,NA,NA,NA,NA,NA,NA,NA
"AN N EA M110B - MOUSAVI, S.",0.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN N EA M50B - BAKHOS, C.A.",0.328,0.328,NA,0.103,0.034,0.19,NA,NA,0.017,NA,NA,NA,NA
"ANTHRO 1 - FESSLER, D.",0.149,0.095,NA,0.186,0.083,0.136,0.169,0.045,0.05,NA,0.004,0.008,0.008
"ANTHRO 100 - STEWART, C.W.",0.226,0.245,0.057,0.189,0.075,0.151,NA,0.019,0.019,0.019,NA,NA,NA
"ANTHRO 111 - LESURE, R.G.",0.185,0.074,0.037,0.296,0.074,0.13,0.13,NA,0.056,NA,NA,NA,0.019
"ANTHRO 113Q - CHEETHAM, D.T.",0.183,0.352,0.028,0.169,0.07,0.113,0.028,NA,0.042,NA,NA,NA,NA
"ANTHRO 119 - WAKE, T.A.",0.347,0.204,NA,0.082,0.041,0.122,0.061,0.02,0.061,0.02,NA,NA,0.02
"ANTHRO 126P - RASHIDI, J.S.",0.383,0.149,0.043,0.085,0.106,0.085,0.021,NA,0.064,0.021,NA,NA,0.021
"ANTHRO 129 - BIGHAM, A.W.",0.388,0.112,0.178,0.105,0.046,0.118,0.013,0.007,0.007,NA,NA,0.007,NA
"ANTHRO 129 - HAUSER, B.A.",0.411,0.211,0.2,0.057,0.034,0.04,0.006,0.006,0.006,NA,NA,0.006,NA
"ANTHRO 135 - SLYOMOVICS, S.",0.289,0.211,0.132,0.053,0.026,0.105,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 136B - HOLLAN, D.W.",0.404,0.16,NA,0.213,0.053,0.096,0.043,0.011,0.011,NA,NA,NA,NA
"ANTHRO 139 - CLARKE, M.",0.412,NA,0.471,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 139 - DE LEON, J.P.",0.467,0.071,0.219,0.071,0.018,0.101,0.018,NA,0.006,NA,0.012,NA,NA
"ANTHRO 140 - FISKE, A.P.",0.275,0.162,0.038,0.188,0.05,0.225,0.012,NA,0.025,NA,0.012,NA,0.012
"ANTHRO 141 - LOYD, H.M.",0.569,0.154,0.231,0.015,0.015,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 149 - DORCHIN, U.",0.782,0.109,NA,0.055,NA,0.055,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 152Q - EDMONDS, R.B.",0.317,0.444,0.016,0.095,0.048,0.063,NA,NA,0.016,NA,NA,NA,NA
"ANTHRO 154Q - MITSUHARA, T.",0.35,0.217,0.3,0.033,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 155 - KROSKRITY, P.V.",0.323,0.097,NA,0.161,0.065,0.194,0.097,NA,NA,NA,NA,NA,NA
"ANTHRO 163P - YAN, Y.",0.235,0.137,0.078,0.098,0.098,0.137,0.078,0.02,0.039,NA,NA,NA,NA
"ANTHRO 19 - ACABADO, S.B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 19 - GARRO, L.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 191 - FISKE, A.P.",0.118,0.353,0.176,NA,NA,0.235,NA,NA,NA,NA,NA,NA,0.059
"ANTHRO 191HA - GARRO, L.C.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 191HD - LESURE, R.G.",0.846,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 194 - FESSLER, D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 194 - FOX, M.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 195CE - BOUM, A.",0.706,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 197 - ACABADO, S.B.",NA,0.053,0.947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 203B - CLARKE, M.",0.091,NA,0.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 221 - CARTMILL, E.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 241 - HART, L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 249 - THROOP, C.J.",0.867,NA,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 299 - WOOD, B.M.",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 3 - ACIKSOZ, S.C.",0.402,0.179,0.243,0.056,0.01,0.056,0.003,0.007,0.003,0.003,0.003,NA,NA
"ANTHRO 4 - DURANTI, A.",0.378,0.154,0.26,0.037,0.028,0.057,0.02,NA,0.016,0.008,0.008,NA,0.004
"ANTHRO C117 - ACABADO, S.B.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO M116R - LI, M.",0.979,NA,NA,NA,NA,0.021,NA,NA,NA,NA,NA,NA,NA
"ANTHRO M128R - RENSEL, M.A.",0.35,0.2,0.25,NA,0.05,0.05,0.05,NA,0.05,NA,NA,NA,NA
"ANTHRO M145P - LEVINE, N.",0.275,0.15,0.025,0.25,0.05,0.15,NA,NA,0.05,NA,NA,NA,NA
"ANTHRO M148 - DIAMOND, J.M.",0.824,NA,0.118,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"APPLING 101W - BAHTINA, D.",0.476,0.143,0.095,0.048,NA,0.095,0.048,0.095,NA,NA,NA,NA,NA
"APPLING 40W - BAHTINA, D.",0.273,0.227,0.318,0.091,NA,0.045,NA,NA,NA,NA,NA,NA,NA
"ARABIC 102B - HAMZA, A.T.",0.462,0.077,0.231,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARABIC 102B - HAMZA, A.T. LEC 2",0.467,0.267,0.067,0.067,NA,0.067,NA,NA,0.067,NA,NA,NA,NA
"ARABIC 103B - HAMZA, A.T.",0.583,0.25,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARABIC 181 - COOPERSON, M.D.",0.533,0.133,0.2,0.067,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"ARABIC 1B - AHMAD, A.M.",0.143,0.095,0.571,0.048,NA,0.048,NA,NA,NA,NA,NA,NA,NA
"ARABIC 1B - AHMAD, A.M. LEC 3",NA,NA,0.882,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 10A - OSMAN, M.",0.523,0.233,NA,0.057,0.026,0.083,0.01,NA,0.021,0.005,NA,NA,0.005
"ARCH&UD 121 - LAI, Y.",0.308,0.346,0.038,0.077,0.038,0.192,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 132 - BARKAN, K.R.",0.421,0.263,0.105,0.105,NA,0.053,NA,NA,0.053,NA,NA,NA,NA
"ARCH&UD 142 - SHARIF, M.",0.368,NA,0.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - CUFF, D.",0.652,0.043,0.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - DE BOEVER, A.",0.583,0.125,NA,NA,0.042,0.167,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - ENNEMOSER, B.",0.2,0.4,NA,NA,NA,0.333,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - JIMENEZ INIESTA, D",0.4,0.4,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - MAXIM, J.",0.455,0.182,0.091,NA,0.091,0.182,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - NOWAK, M.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - OSMAN, M.",0.305,0.244,NA,0.171,0.037,0.22,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - SU, N.",0.421,0.211,0.053,NA,NA,0.316,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 290 - AMUNATEGUI, J.C.",0.5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 291 - CUFF, D.",0.235,0.373,0.039,0.059,0.098,0.118,NA,NA,0.078,NA,NA,NA,NA
"ARCH&UD 401 - DENARI, N.M.",0.25,0.667,NA,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - ENNEMOSER, B.",0.2,0.4,NA,0.133,NA,0.267,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - FREYINGER, C.P.",0.4,0.3,0.2,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - INABA, J.N.",0.333,0.556,NA,NA,0.056,0.056,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - KONGSGAARD, H.",0.091,0.455,NA,0.182,NA,0.273,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - LYNN, G.S.",0.25,0.333,0.25,NA,NA,0.167,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - SANDMEIER, N.S.",0.353,0.353,NA,0.294,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - SHERMAN, R.",0.2,0.4,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 403B - ABE, H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 403B - DENARI, N.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 403B - FEGHALI, Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 403B - INABA, J.N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 403B - LYNN, G.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 403B - OZEL, G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 403B - SANDMEIER, N.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 415 - HULJICH, G.",0.25,0.25,0.083,NA,NA,0.417,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 415 - MIRZAEIAN, N.",0.333,0.333,0.083,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 415 - RICCIARDI, G.",0.333,0.333,0.25,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 415 - SHARIF, M.",0.769,NA,0.154,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 432 - PAULL, M.",0.29,0.516,0.097,NA,NA,0.065,0.032,NA,NA,NA,NA,NA,NA
"ARCH&UD 436 - LYNCH, T.M.",0.222,0.37,0.222,0.111,NA,0.074,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 441 - LOCKE, A.",0.429,0.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD CM153 - BARDACKE, T.M.",0.846,0.077,NA,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD CM247A - BARDACKE, T.M.",0.909,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCHEOL M205A - ZARRILLO, S.",0.364,0.091,0.091,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARMENIA 102B - KOULOUJIAN, H.",0.571,NA,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARMENIA 104B - MARTIROSYAN, H.K.",0.684,NA,0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 100 - KAWASAKI, A.H.",0.594,0.125,0.062,0.062,NA,0.094,NA,NA,NA,NA,NA,NA,NA
"ART 11A - ESTRADA, V.R.",0.706,NA,0.235,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"ART 11B - MORRIS, J.",0.579,0.053,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 11D - RIOS, M.T.",0.462,NA,0.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 11E - SEISLER, N.Y.",0.333,0.222,NA,0.111,NA,0.333,NA,NA,NA,NA,NA,NA,NA
"ART 130 - FISHER, K.A.",0.389,0.056,0.222,0.111,NA,0.111,0.111,NA,NA,NA,NA,NA,NA
"ART 133 - BAER, M.E.",0.133,0.333,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 133 - MULLEADY VULLIETY,",0.333,0.133,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 137 - JUGDEO, V.",0.875,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 140 - SAMUEL, J.M.",0.636,NA,0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 145 - MCMILLIAN, R.T.",0.533,0.2,NA,0.067,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"ART 147 - VALENZUELA, R.A.",0.25,0.375,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 148 - SEW HOY, A.M.",0.786,0.143,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"ART 150 - BOLANDE, J.",0.75,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 150 - OPIE, C.S.",0.308,NA,0.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 1A - WICKMAN, P.A.",0.579,0.053,0.105,0.158,NA,NA,NA,0.053,0.053,NA,NA,NA,NA
"ART 1B - LUPO, N.M.",0.947,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 21B - KYDD, O.A.",0.667,NA,0.25,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"ART 271 - MORRIS, R.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 271 - OTTO-KNAPP, S.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 273 - MCMILLIAN, R.T.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 273 - PERLMAN, H.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 274 - OPIE, C.S.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 275 - JUGDEO, V.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 276 - KRUGER, B.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 277 - SEW HOY, A.M.",0.9,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 278 - FRASER, A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 279 - LIN, C.C.",0.8,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 31B - VIKRAM, A.",0.25,0.058,0.096,0.135,0.058,0.231,0.019,0.038,NA,NA,0.038,NA,0.038
"ART C280 - VALENZUELA, R.A.",0.071,0.071,0.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 121D - WILSON, B.",0.16,0.26,0.1,0.16,0.04,0.14,NA,0.02,0.02,NA,NA,NA,NA
"ART HIS 133E - UPTON, D.",0.145,0.345,NA,0.127,NA,0.273,NA,NA,NA,NA,NA,NA,NA
"ART HIS 144 - ROSENBLUM, B.T.",0.173,0.212,NA,0.154,0.135,0.192,0.019,0.019,0.038,NA,NA,NA,0.019
"ART HIS 185 - HARWELL, G.T.",0.588,0.176,NA,NA,0.118,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 185 - LEE, H.",0.333,0.25,0.25,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"ART HIS 185 - NAIR, S.E.",0.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 25 - MATHUR, S.",0.425,0.088,0.062,0.08,0.062,0.097,0.035,NA,0.035,NA,NA,NA,NA
"ART HIS 30 - KERSEY, K.W.",0.317,0.169,0.24,0.038,0.011,0.055,0.016,0.016,0.038,0.005,NA,NA,NA
"ART HIS C115B - GERSTEL, S.E.",0.577,0.154,0.231,NA,NA,0.038,NA,NA,NA,NA,NA,NA,NA
"ART HIS C126 - HARWELL, G.T.",0.155,0.224,0.069,0.207,0.103,0.121,0.034,NA,0.034,NA,NA,NA,NA
"ART HIS C148G - LEE, H.",0.25,0.062,NA,0.25,0.031,0.219,0.062,NA,0.094,NA,NA,NA,NA
"ART HIS C151 - SASAKI, K.",0.293,0.146,0.195,0.049,0.024,0.049,NA,NA,0.024,NA,NA,NA,NA
"ART HIS M114C - PAPADOPOULOS, J.K.",0.167,0.167,0.125,0.083,0.042,0.375,NA,NA,0.042,NA,NA,NA,NA
"ART HIS M119C - BURKE, K.S.",0.15,0.1,0.3,0.05,0.1,0.05,0.1,NA,NA,NA,NA,NA,NA
"ARTS ED 105 - WILLIAMS, S.M.",0.333,0.095,0.238,0.143,0.048,0.048,0.048,NA,NA,NA,NA,NA,NA
"ARTS ED M192 - SYKES, M.M.",0.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 103 - FONG, K.N.",0.875,NA,NA,0.062,0.062,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 109 - WANG, L.S.",0.15,0.15,0.65,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA
"ASIA AM 122B - DAVIS, M.L.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 132A - PARK, K.R.",0.267,0.15,NA,0.033,0.217,0.05,0.05,NA,0.083,0.033,NA,0.067,0.017
"ASIA AM 140SL - CHENG, S.",0.875,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 141A - CHUN, J.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 170 - WELTY, L.",0.278,0.181,NA,0.167,0.056,0.194,0.042,0.014,0.028,0.014,NA,NA,NA
"ASIA AM 178 - GANDHI, E.C.",0.591,0.045,0.273,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 185 - BURNS, L.M.",0.786,0.071,NA,0.071,0.071,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 19 - YOO, D.K.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 191C - MASUOKA, N.R.",0.943,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029
"ASIA AM 195 - NGUYEN-VO, T.",0.333,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 200B - PARK, K.R.",0.545,0.273,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091
"ASIA AM 30W - BURNS, L.M.",0.75,0.115,NA,0.021,0.031,0.042,NA,NA,0.01,0.01,NA,NA,0.021
"ASIA AM 40 - TRAN, K.N.",0.22,0.311,0.015,0.106,0.015,0.205,NA,0.015,0.015,NA,NA,0.008,0.008
"ASIA AM 50 - MANKEKAR, P.",0.279,0.23,0.197,0.049,0.049,0.082,0.008,NA,0.041,NA,NA,NA,NA
"ASIA AM C142B - CHEN, J.T.",0.9,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM M112B - CHEUNG, K.",0.5,0.3,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM M168 - AVILA, E.R.",0.182,0.545,NA,NA,NA,0.273,NA,NA,NA,NA,NA,NA,NA
"ASIA AM M18 - AVILA, E.R.",0.966,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIAN 100 - TAO, H.",0.208,0.229,0.146,0.104,0.042,0.167,NA,0.021,0.042,NA,NA,NA,0.021
"ASIAN 135 - JUNG-KIM, J.J.",0.158,0.342,NA,0.184,0.053,0.211,NA,NA,NA,NA,NA,NA,NA
"ASIAN M60W - HAYES, M.R.",0.606,0.106,0.015,0.091,0.03,0.091,NA,NA,0.03,NA,NA,NA,0.03
"ASL 2 - LEWIS, B.J.",0.524,0.262,0.095,NA,NA,0.095,NA,NA,NA,NA,NA,NA,NA
"ASL 5 - LEWIS, B.J.",0.529,0.176,0.118,0.059,NA,NA,NA,NA,NA,NA,NA,0.059,NA
"ASL M115 - LEWIS, B.J.",0.7,0.2,0.067,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASTR 115 - TURNER, J.L.",0.217,0.174,0.174,0.087,0.065,0.239,0.022,NA,NA,NA,NA,NA,NA
"ASTR 127 - MORRIS, M.R.",0.167,0.167,0.056,0.167,0.194,0.139,NA,NA,0.083,NA,NA,NA,NA
"ASTR 272 - HANSEN, B.M.",0.462,0.308,0.077,NA,NA,0.154,NA,NA,NA,NA,NA,NA,NA
"ASTR 279 - SHAPLEY, A.E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASTR 3 - LARKIN, J.E.",0.261,0.176,0.033,0.131,0.065,0.157,0.033,0.013,0.046,NA,0.007,NA,0.007
"ASTR 3 - TREU, T.L.",0.182,0.189,0.252,0.075,NA,0.126,NA,NA,0.006,0.006,NA,NA,0.013
"ASTR 5 - MALKAN, M.A.",0.067,0.133,0.033,0.133,0.083,0.067,0.067,0.083,0.017,0.083,0.017,0.083,0.067
"ASTR 6 - FURLANETTO, S.R.",0.5,0.154,NA,0.077,NA,0.077,0.077,0.038,NA,NA,NA,NA,NA
"ASTR 81 - GHEZ, A.M.",0.17,0.106,0.021,0.213,0.128,0.128,0.043,NA,0.17,NA,NA,NA,0.021
